,No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
0,0,中東　直己,外野手,1981/10/05,35歳,10年,168cm,73kg,B型,右左,広島,1,300万円
1,0,上本　崇司,内野手,1990/08/22,26歳,4年,170cm,71kg,A型,右両,広島,880万円
2,2,田中　広輔,内野手,1989/07/03,27歳,3年,171cm,81kg,A型,右左,神奈川,4,100万円
3,4,小窪　哲也,内野手,1985/04/12,31歳,9年,175cm,80kg,O型,右右,奈良,4,000万円
4,5,ルナ,内野手,1980/02/01,36歳,4年,187cm,99kg,B型,右右,ドミニカ共和国,12,000万円
5,6,梵　英心,内野手,1980/10/11,36歳,11年,173cm,76kg,B型,右右,広島,9,000万円
6,7,堂林　翔太,内野手,1991/08/17,25歳,7年,183cm,83kg,A型,右右,愛知,1,830万円
7,9,丸　佳浩,外野手,1989/04/11,27歳,9年,177cm,90kg,AB型,右左,千葉,8,500万円
8,10,岩本　貴裕,外野手,1986/04/18,30歳,8年,182cm,96kg,A型,左左,広島,1,500万円
9,11,福井　優也,投手,1988/02/08,28歳,6年,178cm,80kg,A型,右右,岡山,4,200万円
10,12,九里　亜蓮,投手,1991/09/01,25歳,3年,187cm,92kg,A型,右右,鳥取,1,560万円
11,13,プライディ,外野手,1983/10/09,33歳,1年,185cm,93kg,不明,右左,アメリカ,5,700万円
12,14,大瀬良　大地,投手,1991/06/17,25歳,3年,187cm,93kg,AB型,右右,長崎,4,600万円
13,15,黒田　博樹,投手,1975/02/10,41歳,13年,185cm,93kg,B型,右右,大阪,60,000万円
14,16,今村　猛,投手,1991/04/17,25歳,7年,183cm,95kg,B型,右右,長崎,3,650万円
15,17,岡田　明丈,投手,1993/10/18,23歳,1年,185cm,80kg,AB型,右左,東京,1,500万円
16,19,野村　祐輔,投手,1989/06/24,27歳,5年,177cm,82kg,AB型,右右,岡山,5,200万円
17,20,永川　勝浩,投手,1980/12/14,36歳,14年,188cm,98kg,O型,右右,広島,5,000万円
18,21,中﨑　翔太,投手,1992/08/10,24歳,6年,186cm,96kg,B型,右右,鹿児島,4,200万円
19,22,中村　恭平,投手,1989/03/22,27歳,6年,185cm,82kg,O型,左左,福岡,800万円
20,23,薮田　和樹,投手,1992/08/07,24歳,2年,188cm,84kg,B型,右右,広島,1,000万円
21,24,横山　弘樹,投手,1992/03/12,24歳,1年,187cm,86kg,O型,右左,宮崎,1,350万円
22,25,新井　貴浩,内野手,1977/01/30,39歳,18年,189cm,96kg,B型,右右,広島,6,000万円
23,26,廣瀬　純,外野手,1979/03/29,37歳,16年,181cm,85kg,B型,右右,大分,3,800万円
