,No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
0,0,上本　崇司,内野手,1990/08/22,24歳,2年,170cm,71kg,A型,右右,広島,1,030万円
1,0,中東　直己,外野手,1981/10/05,33歳,8年,168cm,73kg,B型,右左,広島,1,200万円
2,2,東出　輝裕,内野手,1980/08/21,34歳,16年,171cm,75kg,A型,右左,福井,7,000万円
3,4,小窪　哲也,内野手,1985/04/12,29歳,7年,175cm,80kg,O型,右右,奈良,1,480万円
4,5,栗原　健太,内野手,1982/01/08,32歳,15年,183cm,97kg,O型,右右,山形,8,400万円
5,6,梵　英心,内野手,1980/10/11,34歳,9年,173cm,76kg,B型,右右,広島,10,000万円
6,7,堂林　翔太,内野手,1991/08/17,23歳,5年,183cm,83kg,A型,右右,愛知,2,000万円
7,9,丸　佳浩,外野手,1989/04/11,25歳,7年,177cm,90kg,AB型,右左,千葉,5,100万円
8,10,岩本　貴裕,外野手,1986/04/18,28歳,6年,182cm,96kg,A型,左左,広島,2,000万円
9,11,福井　優也,投手,1988/02/08,26歳,4年,178cm,80kg,A型,右右,岡山,2,200万円
10,12,九里　亜蓮,投手,1991/09/01,23歳,1年,187cm,92kg,A型,右右,鳥取,1,200万円
11,13,キラ,内野手,1984/03/29,30歳,2年,193cm,105kg,不明,右左,アメリカ,10,300万円
12,14,大瀬良　大地,投手,1991/06/17,23歳,1年,187cm,93kg,AB型,右右,長崎,1,500万円
13,16,今村　猛,投手,1991/04/17,23歳,5年,183cm,95kg,B型,右右,長崎,5,000万円
14,18,前田　健太,投手,1988/04/11,26歳,8年,182cm,81kg,A型,右右,大阪,28,000万円
15,19,野村　祐輔,投手,1989/06/24,25歳,3年,177cm,82kg,AB型,右右,岡山,6,000万円
16,20,永川　勝浩,投手,1980/12/14,34歳,12年,188cm,98kg,O型,右右,広島,6,000万円
17,21,篠田　純平,投手,1985/04/20,29歳,7年,187cm,86kg,A型,左左,神奈川,1,500万円
18,22,中村　恭平,投手,1989/03/22,25歳,4年,185cm,82kg,O型,左左,福岡,1,100万円
19,23,横山　竜士,投手,1976/06/11,38歳,20年,178cm,85kg,B型,右右,福井,4,500万円
20,24,河内　貴哉,投手,1982/01/06,32歳,15年,188cm,94kg,O型,左左,京都,1,200万円
21,25,高橋　大樹,外野手,1994/05/11,20歳,2年,181cm,85kg,O型,右右,大阪,700万円
22,26,廣瀬　純,外野手,1979/03/29,35歳,14年,181cm,85kg,B型,右右,大分,6,000万円
23,27,上村　和裕,捕手,1983/02/20,31歳,14年,178cm,88kg,O型,右両,北海道,650万円
24,28,岩見　優輝,投手,1987/01/25,27歳,4年,177cm,83kg,A型,左左,大阪,900万円
25,29,江草　仁貴,投手,1980/09/03,34歳,12年,178cm,83kg,A型,左左,広島,2,000万円
26,30,一岡　竜司,投手,1991/01/11,23歳,3年,179cm,82kg,O型,右右,福岡,1,050万円
27,31,石原　慶幸,捕手,1979/09/07,35歳,13年,177cm,90kg,A型,右右,岐阜,10,000万円
28,32,白濱　裕太,捕手,1985/10/31,29歳,11年,180cm,92kg,A型,右右,大阪,750万円
29,33,菊池　涼介,内野手,1990/03/11,24歳,3年,171cm,69kg,A型,右右,東京,3,900万円
30,34,中田　廉,投手,1990/07/21,24歳,6年,189cm,91kg,AB型,右右,大阪,1,400万円
31,35,下水流　昂,外野手,1988/04/23,26歳,2年,178cm,88kg,A型,右右,神奈川,860万円
32,36,齊藤　悠葵,投手,1987/06/20,27歳,9年,186cm,84kg,O型,左左,福井,1,150万円
33,37,松山　竜平,外野手,1985/09/18,29歳,7年,176cm,95kg,B型,右左,鹿児島,2,200万円
34,38,赤松　真人,外野手,1982/09/06,32歳,10年,182cm,75kg,O型,右右,京都,2,800万円
35,39,梅津　智弘,投手,1983/03/03,31歳,10年,191cm,91kg,O型,右右,山形,1,850万円
36,40,倉　義和,捕手,1975/07/27,39歳,17年,179cm,90kg,O型,右右,京都,3,300万円
37,41,上野　弘文,投手,1981/04/10,33歳,8年,176cm,83kg,O型,右右,鹿児島,1,180万円
38,42,バリントン,投手,1980/09/30,34歳,4年,193cm,97kg,不明,右右,アメリカ,13,900万円
39,43,土生　翔平,外野手,1989/08/16,25歳,3年,180cm,87kg,O型,右左,広島,750万円
40,44,迎　祐一郎,外野手,1981/12/22,33歳,15年,180cm,81kg,AB型,右右,佐賀,1,100万円
41,45,松本　高明,内野手,1984/04/12,30歳,12年,177cm,76kg,B型,右左,東京,720万円
42,46,大島　崇行,投手,1983/12/20,31歳,13年,185cm,87kg,O型,左左,山梨,700万円
43,47,小野　淳平,投手,1987/04/05,27歳,5年,178cm,82kg,B型,右右,大分,1,400万円
44,48,西原　圭大,投手,1988/09/29,26歳,1年,179cm,81kg,B型,右右,愛媛,800万円
45,49,天谷　宗一郎,外野手,1983/11/08,31歳,13年,178cm,87kg,O型,左左,福井,2,400万円
46,50,鈴木　将光,外野手,1987/04/08,27歳,9年,182cm,85kg,A型,右右,富山,600万円
47,51,鈴木　誠也,内野手,1994/08/18,20歳,2年,181cm,87kg,A型,右右,東京,650万円
48,52,庄司　隼人,内野手,1991/06/21,23歳,5年,175cm,76kg,A型,右左,静岡,550万円
49,53,戸田　隆矢,投手,1993/06/10,21歳,3年,181cm,72kg,A型,左左,兵庫,550万円
50,54,武内　久士,投手,1987/11/29,27歳,5年,185cm,95kg,A型,右右,徳島,760万円
51,55,エルドレッド,内野手,1980/07/12,34歳,3年,196cm,122kg,不明,右右,アメリカ,5,100万円
52,56,中崎　翔太,投手,1992/08/10,22歳,4年,186cm,96kg,B型,右右,鹿児島,900万円
53,57,ミコライオ,投手,1984/05/10,30歳,3年,205cm,115kg,不明,右右,アメリカ,12,000万円
54,58,フィリップス,投手,1986/09/21,28歳,1年,183cm,86kg,不明,左左,アメリカ,4,000万円
55,59,美間　優槻,内野手,1994/05/26,20歳,2年,177cm,90kg,B型,右右,徳島,500万円
56,60,安部　友裕,内野手,1989/06/24,25歳,7年,181cm,81kg,O型,右左,福岡,1,050万円
57,61,磯村　嘉孝,捕手,1992/11/01,22歳,4年,178cm,89kg,A型,右右,愛知,600万円
58,62,今井　啓介,投手,1987/05/24,27歳,9年,183cm,89kg,B型,右右,新潟,2,150万円
59,63,田中　広輔,内野手,1989/07/03,25歳,1年,171cm,81kg,A型,右左,神奈川,1,100万円
60,64,會澤　翼,捕手,1988/04/13,26歳,8年,177cm,91kg,B型,右右,茨城,900万円
61,65,久本　祐一,投手,1979/03/14,35歳,13年,177cm,83kg,O型,左左,大阪,2,300万円
62,66,木村　昇吾,内野手,1980/04/16,34歳,12年,182cm,78kg,A型,右左,大阪,3,100万円
63,67,中村　祐太,投手,1995/08/31,19歳,1年,182cm,80kg,A型,右右,東京,460万円
64,68,池ノ内　亮介,投手,1988/11/22,26歳,4年,175cm,74kg,O型,右右,三重,500万円
65,69,ロサリオ,外野手,1989/03/29,25歳,1年,186cm,100kg,不明,右右,ドミニカ共和国,1,020万円
66,70,ヒース,投手,1985/08/28,29歳,1年,193cm,109kg,不明,右右,アメリカ,1,020万円
67,99,中村　憲,外野手,1989/09/27,25歳,7年,186cm,90kg,B型,左左,京都,525万円
68,120,永川　光浩,投手,1987/11/02,27歳,5年,189cm,85kg,O型,左左,広島,430万円
69,124,辻　空,投手,1994/04/24,20歳,2年,184cm,84kg,O型,右右,岐阜,310万円
70,126,中村　亘佑,捕手,1991/04/02,23歳,5年,181cm,87kg,O型,右右,神奈川,375万円
71,136,森下　宗,外野手,1991/02/23,23歳,2年,176cm,75kg,B型,左左,静岡,355万円
